epobject_id,title,body,type,created,modified
10131,,"Statement by the Speaker",1,"2018-10-22 22:05:15","2018-10-22 22:05:15"
10132,,"Parliament House",1,"2018-10-22 22:05:15","2018-10-22 22:05:15"
10133,,"<p>For the information of honourable members, I present the Presiding Officers' statement regarding the condition of Parliament House.</p> ",1,"2018-10-22 22:05:15","2018-10-22 22:05:15"
10134,,Committees,1,"2018-10-22 22:05:15","2018-10-22 22:05:15"
10135,,"Petitions Committee; Report",1,"2018-10-22 22:05:15","2018-10-22 22:05:15"
10136,,"<p>Today I present the 31st report of the Standing Committee on Petitions for the 45th Parliament.</p> ",1,"2018-10-22 22:05:15","2018-10-22 22:05:15"
10137,,Petitions,1,"2018-10-22 22:05:15","2018-10-22 22:05:15"
10138,,Responses,1,"2018-10-22 22:05:15","2018-10-22 22:05:15"
10139,,"<p>I present the following 12 ministerial responses to petitions previously presented:</p> ",1,"2018-10-22 22:05:16","2018-10-22 22:05:16"
10140,,Statements,1,"2018-10-22 22:05:16","2018-10-22 22:05:16"
10141,,"<p>Often the committee receives petitions prepared by school students, and it has invited students to participate in a public hearing for its inquiry into e-petitioning. These activities allow young people across Australia to engage directly with the House and provide them with opportunities to learn about civics and citizenship. The committee welcomes the opportunity to hear more from students and young Australians in the future through the petitions process and through our current inquiry.</p><p>Report 31: <i>Petitions and ministerial responses</i> includes the petition coordinated by current year 12 students from Camberwell Girls Grammar School, in Victoria. It's very pleasing to see young Australians who are committed to making a difference and who are drawing to the attention of the House issues that are important to them. On behalf of the committee, I thank those students and teachers for their engagement with the parliament. The committee would also like to wish the students the very best of luck for the future as their time at school comes to an end.</p><p>I look forward to updating the House further on the work of the Petitions Committee.</p> ",1,"2018-10-22 22:05:16","2018-10-22 22:05:16"
10142,,Committees,1,"2018-10-22 22:05:16","2018-10-22 22:05:16"
10143,,"Standing Committee on Health, Aged Care and Sport; Report",1,"2018-10-22 22:05:16","2018-10-22 22:05:16"
