member_id,house,first_name,last_name,constituency,party,entered_house,left_house,entered_reason,left_reason,person_id,title
6,1,Anthony,Albanese,Grayndler,"Australian Labor Party",1996-03-02,9999-12-31,general_election,still_in_office,10007,
13,1,Kevin,Andrews,Menzies,"Liberal Party",1991-05-11,2022-05-21,by_election,retired,10014,
40,1,Sharon,Bird,Cunningham,"Australian Labor Party",2004-10-09,2022-05-21,general_election,retired,10043,
57,1,Russell,Broadbent,McMillan,"Liberal Party",2004-10-09,2019-05-18,general_election,unknown,10069,
69,1,Tony,Burke,Watson,"Australian Labor Party",2004-10-09,9999-12-31,general_election,still_in_office,10081,Mr
73,1,Mark,Butler,"Port Adelaide","Australian Labor Party",2007-11-24,2019-05-18,general_election,unknown,10086,
94,1,Nick,Champion,Wakefield,"Australian Labor Party",2007-11-24,2019-05-18,general_election,unknown,10111,
106,1,Jason,Clare,Blaxland,"Australian Labor Party",2007-11-24,9999-12-31,general_election,still_in_office,10123,
115,1,Julie,Collins,Franklin,"Australian Labor Party",2007-11-24,9999-12-31,general_election,still_in_office,10136,
134,1,Michael,Danby,"Melbourne Ports","Australian Labor Party",1998-10-03,2019-05-18,general_election,retired,10165,
149,1,Mark,Dreyfus,Isaacs,"Australian Labor Party",2007-11-24,9999-12-31,general_election,still_in_office,10181,
154,1,Peter,Dutton,Dickson,"Liberal Party",2001-11-10,2025-05-03,general_election,unknown,10188,
160,1,Justine,Elliot,Richmond,"Australian Labor Party",2004-10-09,9999-12-31,general_election,still_in_office,10195,
187,1,Joel,Fitzgibbon,Hunter,"Australian Labor Party",1996-03-02,2022-05-21,general_election,retired,10230,
237,1,Luke,Hartsuyker,Cowper,"National Party",2001-11-10,2019-05-18,general_election,retired,10285,
242,1,Alex,Hawke,Mitchell,"Liberal Party",2007-11-24,9999-12-31,general_election,still_in_office,10290,
270,1,Greg,Hunt,Flinders,"Liberal Party",2001-11-10,2022-05-21,general_election,retired,10319,
275,1,Steve,Irons,Swan,"Liberal Party",2007-11-24,2022-05-21,general_election,retired,10326,
305,1,Michael,Keenan,Stirling,"Liberal Party",2004-10-09,2019-05-18,general_election,retired,10356,
318,1,Catherine,King,Ballarat,"Australian Labor Party",2001-11-10,9999-12-31,general_election,still_in_office,10368,Ms
324,1,Andrew,Laming,Bowman,"Liberal Party",2004-10-09,2022-05-21,general_election,retired,10377,
332,1,Sussan,Ley,Farrer,"Liberal Party",2001-11-10,2026-02-27,general_election,resigned,10387,
351,1,Nola,Marino,Forrest,"Liberal Party",2007-11-24,2025-05-03,general_election,retired,10416,
353,1,Richard,Marles,Corio,"Australian Labor Party",2007-11-24,9999-12-31,general_election,still_in_office,10418,
388,1,Scott,Morrison,Cook,"Liberal Party",2007-11-24,2024-02-28,general_election,resigned,10468,
400,1,Shayne,Neumann,Blair,"Australian Labor Party",2007-11-24,9999-12-31,general_election,still_in_office,10485,
408,1,Brendan,O'Connor,Gorton,"Australian Labor Party",2004-10-09,2025-05-03,general_election,retired,10496,
414,1,Julie,Owens,Parramatta,"Australian Labor Party",2004-10-09,2022-05-21,general_election,retired,10503,
418,1,Graham,Perrett,Moreton,"Australian Labor Party",2007-11-24,2025-05-03,general_election,retired,10512,
419,1,Tanya,Plibersek,Sydney,"Australian Labor Party",1998-10-03,9999-12-31,general_election,still_in_office,10513,
427,1,Christopher,Pyne,Sturt,"Liberal Party",1993-03-13,2019-05-18,general_election,retired,10524,
430,1,Rowan,Ramsey,Grey,"Liberal Party",2007-11-24,2025-05-03,general_election,retired,10529,
441,1,Amanda,Rishworth,Kingston,"Australian Labor Party",2007-11-24,9999-12-31,general_election,still_in_office,10543,
443,1,Stuart,Robert,Fadden,"Liberal Party",2007-11-24,2023-05-18,general_election,resigned,10545,
476,1,Bill,Shorten,Maribyrnong,"Australian Labor Party",2007-11-24,2025-01-20,general_election,resigned,10580,
494,1,Warren,Snowdon,Lingiari,"Australian Labor Party",2001-11-10,2022-05-21,general_election,retired,10599,
533,1,Maria,Vamvakinou,Calwell,"Australian Labor Party",2001-11-10,2025-05-03,general_election,retired,10649,
563,1,Tony,Zappia,Makin,"Australian Labor Party",2007-11-24,9999-12-31,general_election,still_in_office,10695,
567,1,Darren,Chester,Gippsland,"National Party",2008-06-28,9999-12-31,by_election,still_in_office,10703,
587,1,Paul,Fletcher,Bradfield,"Liberal Party",2009-12-05,2025-05-03,by_election,retired,10723,
588,1,Kelly,O'Dwyer,Higgins,"Liberal Party",2009-12-05,2019-05-18,by_election,retired,10724,
590,1,George,Christensen,Dawson,"National Party",2010-08-21,2022-05-21,general_election,retired,10726,
591,1,Andrew,Wilkie,Denison,Independent,2010-08-21,2019-05-18,general_election,unknown,10727,
592,1,Ken,O'Dowd,Flynn,"National Party",2010-08-21,2022-05-21,general_election,retired,10728,
593,1,Bert,"Van Manen",Forde,"Liberal Party",2010-08-21,2025-05-03,general_election,unknown,10729,
594,1,Ken,Wyatt,Hasluck,"Liberal Party",2010-08-21,2022-05-21,general_election,unknown,10730,
596,1,Warren,Entsch,Leichhardt,"Liberal Party",2010-08-21,2025-05-03,general_election,retired,10203,
599,1,Rob,Mitchell,McEwen,"Australian Labor Party",2010-08-21,9999-12-31,general_election,still_in_office,10733,
600,1,Adam,Bandt,Melbourne,"Australian Greens",2010-08-21,2025-05-03,general_election,unknown,10734,
604,1,Gai,Brodtmann,Canberra,"Australian Labor Party",2010-08-21,2019-05-18,general_election,retired,10738,
607,1,Josh,Frydenberg,Kooyong,"Liberal Party",2010-08-21,2022-05-21,general_election,unknown,10741,
608,1,Dan,Tehan,Wannon,"Liberal Party",2010-08-21,9999-12-31,general_election,still_in_office,10742,
609,1,Michael,McCormack,Riverina,"National Party",2010-08-21,9999-12-31,general_election,still_in_office,10743,
610,1,Chris,Hayes,Fowler,"Australian Labor Party",2010-08-21,2022-05-21,general_election,retired,10294,
612,1,Karen,Andrews,McPherson,"Liberal Party",2010-08-21,2025-05-03,general_election,retired,10745,
615,1,Alan,Tudge,Aston,"Liberal Party",2010-08-21,2023-02-17,general_election,resigned,10748,
