member_id,data_key,data_value
6,public_whip_attendrank,95
6,public_whip_attendrank_outof,149
6,public_whip_data_date,2026-04-01
6,public_whip_division_attendance,82.97%
6,public_whip_dreammp1_absent,0
6,public_whip_dreammp1_both_voted,4
6,public_whip_dreammp1_distance,0
6,public_whip_dreammp10_absent,0
6,public_whip_dreammp10_both_voted,1
6,public_whip_dreammp10_distance,0
6,public_whip_dreammp103_absent,0
6,public_whip_dreammp103_both_voted,1
6,public_whip_dreammp103_distance,1
6,public_whip_dreammp105_absent,0
6,public_whip_dreammp105_both_voted,1
6,public_whip_dreammp105_distance,0
6,public_whip_dreammp109_absent,2
6,public_whip_dreammp109_both_voted,5
6,public_whip_dreammp109_distance,0.83871
6,public_whip_dreammp11_absent,1
6,public_whip_dreammp11_both_voted,3
6,public_whip_dreammp11_distance,0.791667
6,public_whip_dreammp112_absent,35
6,public_whip_dreammp112_both_voted,171
6,public_whip_dreammp112_distance,0.773392
6,public_whip_dreammp113_absent,53
6,public_whip_dreammp113_both_voted,199
6,public_whip_dreammp113_distance,0.30754
6,public_whip_dreammp114_absent,37
6,public_whip_dreammp114_both_voted,283
6,public_whip_dreammp114_distance,0.136905
6,public_whip_dreammp116_absent,0
6,public_whip_dreammp116_both_voted,3
6,public_whip_dreammp116_distance,0
6,public_whip_dreammp117_absent,0
6,public_whip_dreammp117_both_voted,7
6,public_whip_dreammp117_distance,0.142857
6,public_whip_dreammp118_absent,0
6,public_whip_dreammp118_both_voted,5
6,public_whip_dreammp118_distance,0.666667
6,public_whip_dreammp12_absent,0
6,public_whip_dreammp12_both_voted,3
6,public_whip_dreammp12_distance,1
6,public_whip_dreammp121_absent,0
6,public_whip_dreammp121_both_voted,3
6,public_whip_dreammp121_distance,0.333333
6,public_whip_dreammp126_absent,0
6,public_whip_dreammp126_both_voted,2
6,public_whip_dreammp126_distance,0
6,public_whip_dreammp127_absent,3
6,public_whip_dreammp127_both_voted,1
6,public_whip_dreammp127_distance,0.335526
6,public_whip_dreammp128_absent,1
6,public_whip_dreammp128_both_voted,0
6,public_whip_dreammp128_distance,0.5
6,public_whip_dreammp129_absent,0
6,public_whip_dreammp129_both_voted,3
6,public_whip_dreammp129_distance,1
6,public_whip_dreammp13_absent,1
6,public_whip_dreammp13_both_voted,3
6,public_whip_dreammp13_distance,0.65625
6,public_whip_dreammp131_absent,0
6,public_whip_dreammp131_both_voted,2
6,public_whip_dreammp131_distance,1
6,public_whip_dreammp132_absent,5
6,public_whip_dreammp132_both_voted,5
6,public_whip_dreammp132_distance,0.788462
6,public_whip_dreammp133_absent,0
6,public_whip_dreammp133_both_voted,2
6,public_whip_dreammp133_distance,1
6,public_whip_dreammp134_absent,0
6,public_whip_dreammp134_both_voted,2
6,public_whip_dreammp134_distance,1
6,public_whip_dreammp14_absent,0
6,public_whip_dreammp14_both_voted,15
6,public_whip_dreammp14_distance,0
6,public_whip_dreammp141_absent,2
6,public_whip_dreammp141_both_voted,0
6,public_whip_dreammp141_distance,0.5
6,public_whip_dreammp145_absent,0
6,public_whip_dreammp145_both_voted,4
6,public_whip_dreammp145_distance,0
6,public_whip_dreammp148_absent,0
6,public_whip_dreammp148_both_voted,2
6,public_whip_dreammp148_distance,1
6,public_whip_dreammp149_absent,0
6,public_whip_dreammp149_both_voted,6
6,public_whip_dreammp149_distance,1
6,public_whip_dreammp15_absent,2
6,public_whip_dreammp15_both_voted,6
6,public_whip_dreammp15_distance,0.0192308
6,public_whip_dreammp151_absent,0
6,public_whip_dreammp151_both_voted,2
6,public_whip_dreammp151_distance,1
6,public_whip_dreammp153_absent,0
6,public_whip_dreammp153_both_voted,1
6,public_whip_dreammp153_distance,0
